Treated,Synthetic,Sample Mean
k98,7.921,8.198,8.209
k_p98,-4.884,-4.765,-4.707
GVA_Agr,0.071,0.124,0.124
GVA_Ind,0.31,0.363,0.268
GVA_Trade,0.287,0.179,0.22
GVA_Constr,0.043,0.065,0.068
GVA_FBS,0.069,0.125,0.154
h98_Trade,0.498,0.773,1.044
dwellings2000,11.93,11.895,11.827
urban,0.581,0.529,0.431
modern,0.092,0.072,0.088
av_age_ln,3.516,3.589,3.568
special.lnGDPpc_change.1998,0.056,0.041,0.022
special.lnGDPpc_change.2003,0.094,0.089,0.058
special.lnGDPpc_change.2006,0.214,0.179,0.064
