Treated,Synthetic,Sample Mean
k98,7.014,7.228,8.209
k_p98,-5.159,-5.072,-4.707
GVA_Agr,0.144,0.158,0.124
GVA_Ind,0.293,0.29,0.268
GVA_Trade,0.203,0.202,0.22
GVA_Constr,0.062,0.063,0.068
GVA_FBS,0.113,0.127,0.154
h98_Trade,0.695,0.923,1.044
dwellings2000,11.186,11.339,11.827
urban,0.51,0.496,0.431
modern,0.086,0.086,0.088
av_age_ln,3.468,3.639,3.568
special.lnGDPpc_change.1998,0.046,0.036,0.022
special.lnGDPpc_change.2003,0.048,0.032,0.058
special.lnGDPpc_change.2006,0.082,0.078,0.064
