Treated,Synthetic,Sample Mean
k98,9.125,8.436,8.209
k_p98,-4.094,-4.521,-4.707
GVA_Agr,0.078,0.102,0.124
GVA_Ind,0.348,0.349,0.268
GVA_Trade,0.236,0.208,0.22
GVA_Constr,0.075,0.074,0.068
GVA_FBS,0.146,0.131,0.154
h98_Trade,1.3,1.193,1.044
dwellings2000,11.99,11.886,11.827
urban,0.433,0.447,0.431
modern,0.068,0.076,0.088
av_age_ln,3.473,3.582,3.568
special.lnGDPpc_change.1998,0.002,0.002,0.022
special.lnGDPpc_change.2003,0.068,0.066,0.058
special.lnGDPpc_change.2006,0.2,0.162,0.064
