90
1997,0.0860151653244949
1998,-0.0403170791185564
1999,0.047771555780753
2000,0.160095134751488
2001,-0.0626996963575915
2002,-0.0145970491467973
2003,0.0121872261733685
2004,-0.00625730859080424
2005,0.0193866635076089
2006,0.0568602999222656
2007,0.0116402117553766
2008,0.0669043320544532
2009,-0.105626017106689
2010,0.0900276941543801
2011,0.128036221770495
2012,0.0198420419814221
2013,0.00204626544046112
2014,0.0365354813419607
2015,-0.00106460279953455
2016,-0.036290907915318
2017,-0.00168141640056033
2018,0.00673826772684086
