Treated,Synthetic,Sample Mean
k98,6.101,6.779,8.209
k_p98,-5.711,-5.316,-4.707
GVA_Agr,0.253,0.26,0.124
GVA_Ind,0.137,0.156,0.268
GVA_Trade,0.183,0.177,0.22
GVA_Constr,0.022,0.049,0.068
GVA_FBS,0.142,0.15,0.154
h98_Trade,0.695,0.679,1.044
dwellings2000,10.73,11.122,11.827
urban,0.423,0.305,0.431
modern,0.069,0.069,0.088
av_age_ln,3.574,3.586,3.568
special.lnGDPpc_change.2013,0.03,0.028,0.01
special.lnGDPpc_change.2014,0.054,0.017,0.038
