Treated,Synthetic,Sample Mean
k98,7,7.233,8.209
k_p98,-5.098,-4.928,-4.707
GVA_Agr,0.146,0.165,0.124
GVA_Ind,0.339,0.216,0.268
GVA_Trade,0.18,0.187,0.22
GVA_Constr,0.068,0.064,0.068
GVA_FBS,0.096,0.155,0.154
h98_Trade,0.695,1.278,1.044
dwellings2000,11.035,11.047,11.827
urban,0.551,0.414,0.431
modern,0.079,0.11,0.088
av_age_ln,3.467,3.568,3.568
special.lnGDPpc_change.2013,0.02,0.021,0.01
special.lnGDPpc_change.2014,-0.013,-0.009,0.038
