1
1997,-0.0340567544692478
1998,-0.0230509556812143
1999,0.0289046720245109
2000,0.00908992358667712
2001,-0.0047703583332165
2002,-0.0246181730554925
2003,-0.00915076451158639
2004,-0.00173720577959991
2005,-0.0442069601452277
2006,-0.0184418654405055
2007,-0.027135989688931
2008,-0.00800148456462839
2009,-0.046780634884357
2010,-0.0493064058573629
2011,-0.0598797872845386
2012,-0.0392722663527151
2013,-0.0880246019701988
2014,-0.0542863799198624
2015,-0.0223492028279993
2016,0.0461493423529918
2017,0.0102121237004255
2018,-0.0126607996855315
