Treated,Synthetic,Sample Mean
k98,9.125,9.02,8.209
k_p98,-4.094,-4.096,-4.707
GVA_Agr,0.078,0.075,0.124
GVA_Ind,0.348,0.346,0.268
GVA_Trade,0.236,0.235,0.22
GVA_Constr,0.075,0.074,0.068
GVA_FBS,0.146,0.147,0.154
h98_Trade,1.3,1.309,1.044
dwellings2000,11.99,12.008,11.827
urban,0.433,0.575,0.431
modern,0.068,0.07,0.088
av_age_ln,3.473,3.587,3.568
special.lnGDPpc_change.2007,0.069,0.07,0.08
special.lnGDPpc_change.2008,-0.018,-0.001,0.051
