V1,V2
1997,1997,0.105542577171639
1998,1998,0.0208987366205628
1999,1999,-0.033191574943945
2000,2000,0.0454593095408225
2001,2001,0.0180088539700463
2002,2002,0.0434189448959014
2003,2003,0.0390959826805398
2004,2004,0.00919624056106889
2005,2005,0.0794205311441469
2006,2006,0.0663251121451514
2007,2007,0.114791474349184
2008,2008,-0.133878525649419
2009,2009,-0.214745554811952
2010,2010,0.0180217844337778
2011,2011,0.090040409697608
2012,2012,0.0249614470379045
2013,2013,0.0123672481704117
2014,2014,-0.0139461111303675
2015,2015,-0.00847399999907593
2016,2016,-0.0290992205207546
2017,2017,-0.0184086960187239
2018,2018,-0.0290018588381669
