Treated,Synthetic,Sample Mean
k98,9.154,9.139,8.209
k_p98,-4.171,-4.162,-4.707
GVA_Agr,0.042,0.048,0.124
GVA_Ind,0.367,0.37,0.268
GVA_Trade,0.186,0.194,0.22
GVA_Constr,0.068,0.069,0.068
GVA_FBS,0.165,0.156,0.154
h98_Trade,1.3,1.294,1.044
dwellings2000,12.12,12.131,11.827
urban,0.544,0.549,0.431
modern,0.058,0.074,0.088
av_age_ln,3.479,3.589,3.568
special.lnGDPpc_change.2007,0.07,0.069,0.08
special.lnGDPpc_change.2008,0.014,0.013,0.051
