V1,V2
1997,1997,0.00481265278065235
1998,1998,0.0048792706193403
1999,1999,0.0336464065162814
2000,2000,0.0307634063165983
2001,2001,-0.00270940243403444
2002,2002,-0.0191629860342669
2003,2003,-0.0218776674345951
2004,2004,-0.00224957587756271
2005,2005,0.000419305635889142
2006,2006,-0.0043052666097102
2007,2007,0.0206707455593363
2008,2008,0.0283218816379203
2009,2009,-0.0216332849709864
2010,2010,-0.00196367626432172
2011,2011,-0.00610240728959318
2012,2012,-0.0261672780566497
2013,2013,-0.0178251399977652
2014,2014,0.00664451721529257
2015,2015,-0.00496280496683259
2016,2016,-0.00204272859412775
2017,2017,0.00797374672723444
2018,2018,0.00437307709085973
