Treated,Synthetic,Sample Mean
k98,7.671,7.696,8.209
k_p98,-5.165,-5.17,-4.707
GVA_Agr,0.199,0.199,0.124
GVA_Ind,0.2,0.2,0.268
GVA_Trade,0.244,0.242,0.22
GVA_Constr,0.066,0.066,0.068
GVA_FBS,0.109,0.134,0.154
h98_Trade,0.695,0.685,1.044
dwellings2000,11.807,11.797,11.827
urban,0.565,0.452,0.431
modern,0.065,0.07,0.088
av_age_ln,3.467,3.506,3.568
special.lnGDPpc_change.2013,0.028,0.027,0.01
special.lnGDPpc_change.2014,0.04,0.041,0.038
