Treated,Synthetic,Sample Mean
k98,9.19,9.216,8.209
k_p98,-4.015,-4.029,-4.707
GVA_Agr,0.015,0.02,0.124
GVA_Ind,0.178,0.184,0.268
GVA_Trade,0.378,0.329,0.22
GVA_Constr,0.08,0.089,0.068
GVA_FBS,0.2,0.199,0.154
h98_Trade,1.441,1.624,1.044
dwellings2000,12.297,12.308,11.827
urban,0.86,0.745,0.431
modern,0.048,0.059,0.088
av_age_ln,3.493,3.672,3.568
special.lnGDPpc_change.2009,-0.127,-0.03,-0.032
special.lnGDPpc_change.2010,-0.012,-0.012,-0.013
