V1,V2
1997,1997,0.112413779763992
1998,1998,0.00580117528845561
1999,1999,-0.0325342164113624
2000,2000,0.05229164932959
2001,2001,-0.0172191342713509
2002,2002,0.00858998411205769
2003,2003,0.0564620779978367
2004,2004,0.00664839730579763
2005,2005,0.07769180422006
2006,2006,0.0378449758430362
2007,2007,0.0382753177217325
2008,2008,-0.00608248066823199
2009,2009,-0.174072322623459
2010,2010,0.0496189325181492
2011,2011,0.07285555200886
2012,2012,0.049133447639483
2013,2013,0.0095422441764637
2014,2014,0.00873085897819359
2015,2015,-0.0104295422883362
2016,2016,-0.0228616105848263
2017,2017,0.000890028189271213
2018,2018,-0.0241212804874514
