Treated,Synthetic,Sample Mean
k98,9.22,9.782,8.209
k_p98,-4.351,-4.161,-4.707
GVA_Agr,0.001,0.014,0.124
GVA_Ind,0.217,0.266,0.268
GVA_Trade,0.325,0.28,0.22
GVA_Constr,0.07,0.071,0.068
GVA_FBS,0.217,0.216,0.154
h98_Trade,0.498,1.425,1.044
dwellings2000,12.626,12.922,11.827
urban,0.949,0.828,0.431
modern,0.028,0.035,0.088
av_age_ln,3.705,3.706,3.568
special.lnGDPpc_change.2012,0.09,0.004,-0.002
special.lnGDPpc_change.2013,0.072,0.011,0.01
