Treated,Synthetic,Sample Mean
k98,7.557,7.687,8.209
k_p98,-4.457,-4.464,-4.707
GVA_Agr,0.152,0.049,0.124
GVA_Ind,0.21,0.225,0.268
GVA_Trade,0.2,0.213,0.22
GVA_Constr,0.079,0.075,0.068
GVA_FBS,0.159,0.24,0.154
h98_Trade,1.441,1.837,1.044
dwellings2000,11.133,11.439,11.827
urban,0.537,0.478,0.431
modern,0.053,0.094,0.088
av_age_ln,3.713,3.58,3.568
special.lnGDPpc_change.2009,-0.245,-0.104,-0.032
special.lnGDPpc_change.2010,0.177,0.092,-0.013
